Ano;Evento
1961;Nasce a ideia de criar uma empresa para fabricar motores elétricos
1961;Fundação da WEG em 16/09 por Werner Voigt, Eggon da Silva e Geraldo Werninghaus
1961;Capital Social inicial: Cr$ 3.600,00
1964;Compra do terreno e início da construção do Parque Fabril I
1964;Início da fabricação no local
1966;1ª Convenção Nacional de Vendas
1966;Fundação da Associação Recreativa da WEG (ARWEG)
1966;Criação da primeira CIPA
1968;Criação do CENTROWEG para capacitação técnica de colaboradores
1970;Criação da política de qualidade WEG
1970;Produção do 1º motor conforme Normas ABNT e IEC
1970;Início das exportações para Guatemala, Uruguai, Paraguai, Equador e Bolívia
1971;Ações da WEG entram na Bolsa de Valores
1972;Surge o primeiro parque de reflorestamento
1973;Compra do terreno Parque Fabril II
1973;Início da construção da fábrica
1973;Exportação de motores para 20 países
1975;Produção do motor 1 milhão
1976;Abertura de escritório na Alemanha (parceria Motores Jara)
1977;Inauguração do Parque Fabril II
1980;Implantação do Centro Tecnológico (Parque Fabril I)
1981;Criação da WEG Acionamentos
1982;Criação do CCQ
1982;Lançamento da primeira linha de contactores e relés de proteção
1982;Lançamento dos primeiros motores de grande potência (100 a 200 KW)
1982;Criação da WEG Transformadores e WEG Energia
1983;Criação da WEG Química
1986;WEG recebe primeiro prêmio "Revista Exame - Melhores e Maiores"
1988;Criação da WEG Automação
1989;Eggon João da Silva sai da presidência (Décio da Silva assume)
1989;Produção do primeiro transformador de 10 mil kVA, 138 kV
1991;Inauguração da Filial nos EUA
1992;Inauguração da fundição em Guaramirim/SC (uma das mais modernas da AL)
1993;Primeira distribuição de PLR
1993;Primeira certificação ISO 9001
1994;Criação dos Centros de Negócios Industriais
1995;Filial na Alemanha
1995;Primeira Ação Comunitária WEG
1996;Filial na Inglaterra
1997;WEG recebe Prêmio Nacional de Qualidade
1998;Filiais na França, Espanha e Suécia
1999;79% de market share no Brasil em motores elétricos
1999;Exporta para 55 países (29% da produção)
2000;Aquisição de fábricas na Argentina e México
2001;Faturamento de R$ 1 bilhão em um ano
2001;Certificação ISO 14001
2002;Aquisição de fábrica em Portugal
2002;Fornecimento do maior transformador até então (200MVA, 550kV)
2003;Inauguração do Museu WEG
2003;Fabricação do maior gerador do mundo (50.000kVA, 13,8kV)
2005;Inauguração da primeira fábrica na China
2005;Abertura de filial em Singapura
2005;Compra da fábrica de Manaus
2006;Produção do motor número 100.000.000
2007;Aquisição da Trafo (transformadores)
2007;Aquisição da HISA (turbinas hidráulicas)
2007;Entrada no Índice Novo Mercado da Bovespa
2008;Décio da Silva assume presidência do Conselho
2008;Harry Schmelzer Jr. assume presidência executiva
2008;Abertura da filial na Rússia
2009;Construção da fábrica de Transformadores no México (Huehuetoca)
2010;Início das operações na Índia
2010;Aquisição da Instrutech
2010;Aquisição da Voltran
2010;Aquisição da Zest Electric (África do Sul)
2010;Aquisição da Pulverlux (Argentina)
2010;Aquisição da FOURNAIS A/S (Dinamarca)
2011;Aquisição da Watt Drive (Áustria)
2011;Aquisição da Electric Machinery (EUA)
2011;Joint-Venture com CESTARI
2011;Início da fabricação de aerogeradores
2011;Inauguração da WEG Índia
2011;Criação da filial no Peru
2011;Inauguração da WEG Linhares/ES
2012;Aquisição da Injetel
2012;Aquisição da Stardur Tintas
2012;Primeiro fornecimento em energia eólica (90 MW)
2012;Vendas internacionais alcançam 51% do faturamento
2012;Aquisição da Paumar
2013;Criação da filial no Equador
2013;Aquisição da Hawker Siddeley (África do Sul)
2014;Aquisição da KATT Hessen (Alemanha)
2014;Aquisição da FTC Energy (Colômbia)
2014;Aquisição da Württembergische (Alemanha)
2014;Aquisição da Sinya Electromotor (China)
2014;Aquisição de unidade da Efacec (PE)
2015;Aquisição da TSS Transformers (África do Sul)
2015;Aquisição da Suntec (Colômbia)
2015;Eleita "Empresa do Ano" pela Revista Exame
2015;Aquisição da Autrial (Espanha)
2016;Aquisição da Bluffton Motor Works (EUA)
2016;Construção da fábrica em Rugao (China)
2017;Aquisição da TGM (turbinas)
2017;Aquisição do negócio de transformadores da CG Power (EUA)
2019;Entrada na Indústria 4.0 (aquisição de 51% da PPI-Multitask e V2COM)
2020;Aquisição da BirminD (IA)
2020;Aquisição da MVISIA (visão computacional)
2020;Aquisição da TSEA (Betim/MG)
2020;Produção de respiradores para COVID-19
2021;Aquisição da Balteau (Itajubá/MG)
2021;5ª fábrica de transformadores na América do Norte (Missouri)
2021;Criação de unidade fabril na Turquia
2021;Abertura de filial na Polônia
2022;Anúncio de nova fábrica em Santo Tirso (Portugal)
2022;Fornecimento dos maiores geradores da história WEG
2022;Joint-Venture com Grupo Cevital (Argélia)
2022;Aquisição da Gefran Motion Control (Itália)
2022;Lançamento do Programa WEG Carbono Neutro
2022;Inauguração da fábrica na Argélia
2023;Aquisição total da BirminD
2023;Investimento de US$ 40 milhões no México
2023;Compra de negócios da Regal Rexnord
2023;Investimento de R$ 1,2 bi em transformadores
2024;Alberto Yoshikazu Kuba assume presidência executiva